"[-0.06059613  0.10911337  0.01796741  0.0067496  -0.06692598 -0.06463847
  0.02472179 -0.13239738  0.10997017 -0.0577249   0.06923135 -0.11562479
  0.10038003  0.06237562  0.02332145  0.024167   -0.05516611  0.03905499
 -0.0051389   0.0257634 ]","[('13143', 0.7562060356140137), ('6914', 0.7532157897949219), ('3033', 0.7459083795547485), ('27767', 0.7282100319862366), ('25965', 0.7180644273757935), ('9057', 0.7121115922927856), ('19719', 0.7119534015655518), ('28043', 0.707470715045929), ('11514', 0.7046093940734863), ('4313', 0.7018976211547852)]"
"[-0.01071466 -0.00519922  0.11157854 -0.03082379  0.01582851  0.06641044
 -0.04151775  0.00439413  0.02734402 -0.10199646  0.09203143 -0.03362845
  0.123741    0.08475143  0.0366984  -0.01539517 -0.03116893 -0.00043135
 -0.09074295 -0.01126119]","[('10538', 0.8122268319129944), ('1206', 0.753294825553894), ('24043', 0.7054132223129272), ('9757', 0.7031471729278564), ('2131', 0.6957394480705261), ('17603', 0.6950352787971497), ('22347', 0.6942737102508545), ('4512', 0.6927378177642822), ('4431', 0.6850021481513977), ('18273', 0.6801002621650696)]"
"[ 0.00642701  0.01654911 -0.1604152   0.2586827  -0.03398537  0.03148731
 -0.09695809  0.02565618  0.06796928 -0.16188635  0.492485    0.51998746
  0.04103335  0.3285625   0.06157688  0.03636664  0.2740614   0.21727557
 -0.0138899  -0.17296109]","[('6197', 0.6905304193496704), ('15147', 0.6668688654899597), ('24441', 0.64991295337677), ('3654', 0.6473573446273804), ('21719', 0.645261824131012), ('16051', 0.6379773616790771), ('21905', 0.6317250728607178), ('7015', 0.6254495978355408), ('6255', 0.6214934587478638), ('2466', 0.6150603294372559)]"
"[ 0.07351247  0.06498375  0.13927469  0.14382838  0.03339032  0.07128639
 -0.04024913  0.14693473 -0.04163048 -0.1953824   0.17370081  0.4061505
  0.08632639  0.36496404  0.05579218 -0.00048127  0.02135808 -0.10891125
  0.01697236 -0.23019888]","[('3654', 0.763094961643219), ('2788', 0.7100030183792114), ('2707', 0.692744791507721), ('26339', 0.6685068011283875), ('19341', 0.6672198176383972), ('25337', 0.6655063629150391), ('16532', 0.6648311614990234), ('26256', 0.6635327339172363), ('17854', 0.6570464372634888), ('22477', 0.6554190516471863)]"
"[ 0.05817469  0.09796575 -0.10816056 -0.10374258  0.21248929  0.18206099
  0.07271015  0.25422022  0.02077364 -0.09203345 -0.01509116 -0.07291184
 -0.04711308 -0.01865405  0.04910856  0.08614668  0.11611979 -0.25283954
  0.00231228 -0.01929922]","[('23186', 0.765019416809082), ('1350', 0.7201337814331055), ('27029', 0.7182258367538452), ('10113', 0.7150031924247742), ('6107', 0.696723222732544), ('26805', 0.6944077014923096), ('20857', 0.6933966875076294), ('18863', 0.6915364861488342), ('17998', 0.6885486841201782), ('1722', 0.6870646476745605)]"
"[-0.00450936 -0.00094349  0.08644802  0.16608493  0.11702397  0.04053412
  0.14609843  0.29315504 -0.04349013 -0.2940044   0.23185296  0.32777768
 -0.04630404  0.22394636  0.11324829  0.18109787  0.20740615  0.03275055
  0.19386345 -0.29807264]","[('25605', 0.7146636843681335), ('17854', 0.7037308216094971), ('7437', 0.6905472278594971), ('503', 0.6855852603912354), ('23777', 0.6826963424682617), ('28754', 0.6792169809341431), ('19341', 0.6787103414535522), ('24170', 0.6776739358901978), ('19531', 0.6765181422233582), ('25835', 0.6758145093917847)]"
"[-0.15766184  0.13950638 -0.25516143  0.04978735  0.11840497 -0.10619701
  0.15292674  0.14472258  0.34087577 -0.18659185  0.11459906 -0.1029347
 -0.10351586 -0.0490556   0.01481817  0.18481076 -0.00900874  0.05042128
  0.10167538  0.13036777]","[('10500', 0.9126418232917786), ('7654', 0.9111510515213013), ('19364', 0.9050743579864502), ('2528', 0.8995038270950317), ('1020', 0.8980010747909546), ('2026', 0.8979899883270264), ('13994', 0.8898508548736572), ('9098', 0.8869619369506836), ('5794', 0.8860515356063843), ('27218', 0.8834377527236938)]"
"[-0.03607222  0.10363349  0.01669495  0.01995218 -0.02002575 -0.06377994
  0.14578533  0.01206846  0.03218181 -0.09716343  0.09272446  0.14138769
  0.13723803  0.12242492  0.13406384  0.01604956  0.03231101  0.10620955
  0.07856394  0.07888684]","[('8767', 0.7894729375839233), ('13307', 0.7506880760192871), ('7921', 0.72722327709198), ('254', 0.7256089448928833), ('2187', 0.7239794135093689), ('25013', 0.7226890921592712), ('27421', 0.7191020250320435), ('12699', 0.7123721241950989), ('22596', 0.7054917812347412), ('869', 0.7011977434158325)]"
"[-0.0308336  -0.10421836 -0.02821791  0.07607564 -0.02298811  0.09258998
  0.07119782 -0.02804463  0.01269643 -0.00850788 -0.06617872  0.1836283
  0.01780678 -0.00691173 -0.1327172  -0.13402416 -0.08633672 -0.00098971
  0.0597391   0.0327332 ]","[('12750', 0.7512301206588745), ('4532', 0.7508500218391418), ('21194', 0.7485661506652832), ('8740', 0.737714409828186), ('24154', 0.7350196838378906), ('18397', 0.7348167300224304), ('28352', 0.7286156415939331), ('1782', 0.7275164127349854), ('24001', 0.7201464176177979), ('9093', 0.7172772884368896)]"
"[ 0.26202744 -0.07642221  0.13997833  0.13829377 -0.1766535  -0.12326265
 -0.18857844 -0.3021879  -0.27456495  0.12734266 -0.03008141  0.11933921
  0.11376969 -0.12311205  0.2987827  -0.08022258 -0.29577    -0.10501548
 -0.02660349 -0.1269192 ]","[('54', 0.8241339921951294), ('27288', 0.7856050729751587), ('3695', 0.7571917176246643), ('3737', 0.7524387836456299), ('26593', 0.7478811740875244), ('21765', 0.7258212566375732), ('28504', 0.7239476442337036), ('9041', 0.7225528955459595), ('15973', 0.7060512900352478), ('21257', 0.6972305774688721)]"
"[ 0.04156076  0.067529    0.03883575  0.1408563   0.07095913  0.01182696
 -0.03788886  0.14671454 -0.01797014 -0.22821917  0.15023127  0.34700763
  0.04922016  0.41954094  0.13185853  0.01100395 -0.00353538 -0.04335698
  0.05522366 -0.18423034]","[('3654', 0.7509720325469971), ('26256', 0.7252079844474792), ('27847', 0.7186834216117859), ('24968', 0.7136781215667725), ('25580', 0.6984153985977173), ('2788', 0.6697655916213989), ('12', 0.6692521572113037), ('450', 0.6563599109649658), ('22143', 0.6559703350067139), ('9075', 0.6546953320503235)]"
